SR#,Problem Code,Date Initiated,Description,Category,Dispatch To,Address,Zone,Keymap,Zip Code,Status
176971,Tree Removal,2021-01-01 01:58 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA", 3400 BENFIELD DR&12934 WESTPARK DR,"2, ZONE",488Y,4855a,CLOSED
176972,Tree Trim,2021-01-01 09:14 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",6122  HIRSCH ,"4, ZONE",454P,5460d,CLOSED
176973,Tree Removal,2021-01-01 10:30 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",1845  PRIEST ,"4, ZONE",453D,5461a,CLOSED
176974,Tree Trim,2021-01-01 06:20 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA", 4700 NOLDA ST&1800 PARKER ST,"2, ZONE",492H,5358c,CLOSED
176977,Tree Removal,2021-01-04 11:51 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",1735  SHANNON VALLEY ,"2, ZONE",488R,4856a,CLOSED
176981,Tree Removal,2021-01-04 01:32 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",5520  COCHRAN ,"4, ZONE",453V,5459a,CLOSED
176982,Tree Removal,2021-01-04 03:04 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",1120  7TH 1/2 ,"3, ZONE",493A,5358b,CLOSED
176983,Tree Removal,2021-01-04 03:13 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",2301  DRYDEN ,"7, ZONE",532G,5255b,CLOSED
176985,Tree Code Violation,2021-01-04 06:10 PM,Tree Code Violation Inspection,TREEPROTECTION,"UF - JONES, CODY",1417  PRINCE ,"3, ZONE",452Y,5259d,CLOSED
176986,Tree Removal,2021-01-04 08:39 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY", 7600 HOMESTEAD RD&7100 LEY RD&6900 WEAVER RD,"4, ZONE",454M,5560b,CLOSED
176987,Tree Removal,2021-01-04 09:32 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",4202 E  SPENCER ,"2, ZONE",492H,5358c,CLOSED
